observer_count = 12, target_count = 24, radius = 5, iteration = 12, score = 1.40267, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 12, score = 1.29067, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 12, score = 0.983333, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 12, score = 1.494, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 13, score = 1.388, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 13, score = 1.074, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 13, score = 1.588, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 13, score = 1.23667, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 13, score = 1.338, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 13, score = 1.24733, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 13, score = 1.44333, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 13, score = 1.03533, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 1.084, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 1.22933, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 0.947999, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 1.36733, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 0.964, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 1.43867, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 1.032, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 14, score = 0.914667, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.08867, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.38733, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.36733, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.28133, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 1.32067, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 0.628667, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 0.892666, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 15, score = 0.960667, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.51867, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.27133, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.20267, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.12733, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.2, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 16, score = 1.05066, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
