observer_count = 18, target_count = 9, radius = 5, iteration = 6, score = 1.05467
observer_count = 18, target_count = 15, radius = 5, iteration = 6, score = 0.703333
observer_count = 18, target_count = 21, radius = 5, iteration = 6, score = 1.68467
observer_count = 18, target_count = 27, radius = 5, iteration = 6, score = 1.79267
observer_count = 2, target_count = 3, radius = 5, iteration = 7, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 7, score = 0.0306667
observer_count = 2, target_count = 9, radius = 5, iteration = 7, score = 0.0813334
observer_count = 2, target_count = 15, radius = 5, iteration = 7, score = 0.0793333
observer_count = 2, target_count = 21, radius = 5, iteration = 7, score = 0.105333
observer_count = 2, target_count = 27, radius = 5, iteration = 7, score = 0.026
observer_count = 6, target_count = 3, radius = 5, iteration = 7, score = 0
observer_count = 6, target_count = 6, radius = 5, iteration = 7, score = 0.18
observer_count = 6, target_count = 9, radius = 5, iteration = 7, score = 0.268
observer_count = 6, target_count = 15, radius = 5, iteration = 7, score = 0.126
observer_count = 6, target_count = 21, radius = 5, iteration = 7, score = 0.649334
observer_count = 6, target_count = 27, radius = 5, iteration = 7, score = 0.372
observer_count = 10, target_count = 3, radius = 5, iteration = 7, score = 0.128
observer_count = 10, target_count = 6, radius = 5, iteration = 7, score = 0.042
observer_count = 10, target_count = 9, radius = 5, iteration = 7, score = 0.387333
observer_count = 10, target_count = 15, radius = 5, iteration = 7, score = 0.266666
observer_count = 10, target_count = 21, radius = 5, iteration = 7, score = 0.706666
observer_count = 10, target_count = 27, radius = 5, iteration = 7, score = 1.14333
observer_count = 14, target_count = 3, radius = 5, iteration = 7, score = 0.118
observer_count = 14, target_count = 6, radius = 5, iteration = 7, score = 0.202667
observer_count = 14, target_count = 9, radius = 5, iteration = 7, score = 0.549333
observer_count = 14, target_count = 15, radius = 5, iteration = 7, score = 0.869334
observer_count = 14, target_count = 21, radius = 5, iteration = 7, score = 1.69333
observer_count = 14, target_count = 27, radius = 5, iteration = 7, score = 1.156
observer_count = 18, target_count = 3, radius = 5, iteration = 7, score = 0.296666
observer_count = 18, target_count = 6, radius = 5, iteration = 7, score = 0.488
observer_count = 18, target_count = 9, radius = 5, iteration = 7, score = 0.578667
observer_count = 18, target_count = 15, radius = 5, iteration = 7, score = 0.954667
observer_count = 18, target_count = 21, radius = 5, iteration = 7, score = 1.08667
observer_count = 18, target_count = 27, radius = 5, iteration = 7, score = 1.74133
observer_count = 2, target_count = 3, radius = 5, iteration = 8, score = 0.008
observer_count = 2, target_count = 6, radius = 5, iteration = 8, score = 0.000666666
observer_count = 2, target_count = 9, radius = 5, iteration = 8, score = 0.096
observer_count = 2, target_count = 15, radius = 5, iteration = 8, score = 0.346
observer_count = 2, target_count = 21, radius = 5, iteration = 8, score = 0.235333
observer_count = 2, target_count = 27, radius = 5, iteration = 8, score = 0.321333
observer_count = 6, target_count = 3, radius = 5, iteration = 8, score = 0.0379999
observer_count = 6, target_count = 6, radius = 5, iteration = 8, score = 0.259333
observer_count = 6, target_count = 9, radius = 5, iteration = 8, score = 0.0186666
observer_count = 6, target_count = 15, radius = 5, iteration = 8, score = 0.322
observer_count = 6, target_count = 21, radius = 5, iteration = 8, score = 0.673333
observer_count = 6, target_count = 27, radius = 5, iteration = 8, score = 0.508
observer_count = 10, target_count = 3, radius = 5, iteration = 8, score = 0.0806666
observer_count = 10, target_count = 6, radius = 5, iteration = 8, score = 0.244
observer_count = 10, target_count = 9, radius = 5, iteration = 8, score = 0.472667
observer_count = 10, target_count = 15, radius = 5, iteration = 8, score = 0.308
observer_count = 10, target_count = 21, radius = 5, iteration = 8, score = 0.58
observer_count = 10, target_count = 27, radius = 5, iteration = 8, score = 0.787334
observer_count = 14, target_count = 3, radius = 5, iteration = 8, score = 0.05
observer_count = 14, target_count = 6, radius = 5, iteration = 8, score = 0.243334
observer_count = 14, target_count = 9, radius = 5, iteration = 8, score = 0.227333
